DISTRICT,PER_TURN_ALL,PER_TURN_INEXP,PER_TURN_EXP
WEST IRONDEQUOIT CSD,0.14,0.21,0.12764705882352945
HONEOYE FALLS-LIMA CSD,0.08,0.09,0.07831168831168832
SPENCERPORT CSD,0.12,0.39,0.08080645161290323
HILTON CSD,0.1,0.23,0.07375394321766562
PENFIELD CSD,0.11,0.37,0.06833827893175073
FAIRPORT CSD,0.12,0.49,0.07290909090909091
EAST ROCHESTER UFSD,0.14,0.0,0.17012658227848104
PITTSFORD CSD,0.07,0.18,0.06189732142857144
CHURCHVILLE-CHILI CSD,0.14,0.25,0.11396946564885499
ROCHESTER CITY SD,0.09,0.09,0.09
RUSH-HENRIETTA CSD,0.11,0.23,0.09986666666666666
BROCKPORT CSD,0.11,0.19,0.099
WEBSTER CSD,0.14,0.44,0.08193548387096775
WHEATLAND-CHILI CSD,0.08,0.08,0.07999999999999999
AMSTERDAM CITY SD,0.2,0.2,0.2
CANAJOHARIE CSD,0.12,0.1,0.12477611940298507
FONDA-FULTONVILLE CSD,0.12,0.44,0.07957894736842105
FORT PLAIN CSD,0.14,0.33,0.1260294117647059
OPPENHEIM-EPHRATAH-ST. JOHNSVILLE CS,0.1,0.23,0.0853225806451613
GLEN COVE CITY SD,0.13,0.29,0.09967741935483872
HEMPSTEAD UFSD,0.15,0.22,0.14757097791798104
UNIONDALE UFSD,0.08,0.12,0.07818897637795277
EAST MEADOW UFSD,0.07,0.07,0.07000000000000002
NORTH BELLMORE UFSD,0.17,0.48,0.12694444444444444
LEVITTOWN UFSD,0.12,0.29,0.10315887850467291
SEAFORD UFSD,0.1,0.38,0.058461538461538474
BELLMORE UFSD,0.09,0.23,0.0788
ROOSEVELT UFSD,0.13,0.24,0.10525000000000002
FREEPORT UFSD,0.09,0.18,0.07720090293453725
BALDWIN UFSD,0.13,0.49,0.1076271186440678
OCEANSIDE UFSD,0.23,0.58,0.15686567164179108
MALVERNE UFSD,0.06,0.13,0.04904761904761904
VALLEY STREAM 13 UFSD,0.15,0.29,0.13126760563380283
HEWLETT-WOODMERE UFSD,0.11,0.27,0.0906060606060606
LAWRENCE UFSD,0.12,0.42,0.09454545454545456
ELMONT UFSD,0.11,0.22,0.09530821917808222
FRANKLIN SQUARE UFSD,0.1,0.21,0.07724137931034483
GARDEN CITY UFSD,0.14,0.31,0.12764705882352945
EAST ROCKAWAY UFSD,0.08,0.0,0.0874074074074074
LYNBROOK UFSD,0.13,0.41,0.0915
ROCKVILLE CENTRE UFSD,0.07,0.33,0.04636363636363637
FLORAL PARK-BELLEROSE UFSD,0.17,0.13,0.1779166666666667
WANTAGH UFSD,0.17,0.47,0.153710407239819
VALLEY STREAM 24 UFSD,0.09,0.17,0.07683544303797468
MERRICK UFSD,0.14,0.41,0.11043795620437959
ISLAND TREES UFSD,0.09,0.21,0.07483516483516484
WEST HEMPSTEAD UFSD,0.07,0.3,0.04570422535211268
NORTH MERRICK UFSD,0.17,0.7,0.1326760563380282
VALLEY STREAM 30 UFSD,0.15,0.17,0.14530612244897959
ISLAND PARK UFSD,0.1,0.14,0.09666666666666668
VALLEY STREAM CENTRAL HS DISTRICT,0.08,0.16,0.071976401179941
SEWANHAKA CENTRAL HS DISTRICT,0.11,0.16,0.10083969465648855
BELLMORE-MERRICK CENTRAL HS DISTRICT,0.07,0.36,0.044070588235294125
LONG BEACH CITY SD,0.13,0.36,0.1143026706231454
WESTBURY UFSD,0.08,0.16,0.06962962962962964
EAST WILLISTON UFSD,0.17,0.46,0.0989795918367347
ROSLYN UFSD,0.05,0.14,0.044924812030075194
PORT WASHINGTON UFSD,0.08,0.23,0.07097995545657015
NEW HYDE PARK-GARDEN CITY PARK UFSD,0.11,0.5,0.07301724137931034
MANHASSET UFSD,0.15,0.34,0.10921951219512195
GREAT NECK UFSD,0.14,0.33,0.12021487603305786
HERRICKS UFSD,0.1,0.26,0.0811764705882353
MINEOLA UFSD,0.13,0.2,0.1113089005235602
CARLE PLACE UFSD,0.07,0.09,0.06714285714285714
NORTH SHORE CSD,0.14,0.24,0.11276595744680853
SYOSSET CSD,0.13,0.49,0.09809364548494985
LOCUST VALLEY CSD,0.14,0.41,0.10896551724137933
PLAINVIEW-OLD BETHPAGE CSD,0.17,0.51,0.1405986696230599
OYSTER BAY-EAST NORWICH CSD,0.1,0.04,0.10919708029197081
JERICHO UFSD,0.12,0.33,0.08114537444933921
HICKSVILLE UFSD,0.11,0.21,0.09319783197831978
PLAINEDGE UFSD,0.14,0.41,0.11177272727272729
BETHPAGE UFSD,0.08,0.25,0.059304347826086956
FARMINGDALE UFSD,0.14,0.36,0.0877777777777778
MASSAPEQUA UFSD,0.14,0.36,0.11708333333333336
NYC CHANCELLOR'S OFFICE,0.15,0.17,0.13882126297916803
NYC SPEC SCHOOLS - DIST 75,0.14,0.12,0.15633477633477635
NYC GEOG DIST # 1 - MANHATTAN,0.22,0.2,0.2338076923076923
NYC GEOG DIST # 2 - MANHATTAN,0.15,0.17,0.1377310924369748
NYC GEOG DIST # 3 - MANHATTAN,0.17,0.21,0.14399380804953565
NYC GEOG DIST # 4 - MANHATTAN,0.2,0.2,0.20000000000000004
NYC GEOG DIST # 5 - MANHATTAN,0.22,0.29,0.1756804733727811
NYC GEOG DIST # 6 - MANHATTAN,0.18,0.18,0.18
NYC GEOG DIST # 7 - BRONX,0.19,0.21,0.17369346733668345
NYC GEOG DIST # 8 - BRONX,0.17,0.16,0.17674831081081083
NYC GEOG DIST # 9 - BRONX,0.18,0.21,0.15781690140845067
NYC GEOG DIST #10 - BRONX,0.15,0.18,0.13177534707614638
NYC GEOG DIST #11 - BRONX,0.15,0.18,0.13446674311926607
NYC GEOG DIST #12 - BRONX,0.19,0.23,0.15718894009216586
NYC GEOG DIST #13 - BROOKLYN,0.18,0.19,0.17458963282937368
NYC GEOG DIST #14 - BROOKLYN,0.16,0.18,0.14841013824884794
NYC GEOG DIST #15 - BROOKLYN,0.15,0.16,0.14463654223968564
NYC GEOG DIST #16 - BROOKLYN,0.18,0.2,0.16626959247648904
NYC GEOG DIST #17 - BROOKLYN,0.2,0.21,0.19322687224669605
NYC GEOG DIST #18 - BROOKLYN,0.19,0.24,0.1676315789473684
NYC GEOG DIST #19 - BROOKLYN,0.17,0.2,0.1481762917933131
NYC GEOG DIST #20 - BROOKLYN,0.12,0.12,0.11999999999999998
NYC GEOG DIST #21 - BROOKLYN,0.14,0.14,0.14
NYC GEOG DIST #22 - BROOKLYN,0.15,0.15,0.15
NYC GEOG DIST #23 - BROOKLYN,0.18,0.21,0.15643410852713177
NYC GEOG DIST #32 - BROOKLYN,0.18,0.17,0.18805383022774327
NYC GEOG DIST #24 - QUEENS,0.12,0.12,0.12
NYC GEOG DIST #25 - QUEENS,0.12,0.15,0.10767441860465116
NYC GEOG DIST #26 - QUEENS,0.12,0.2,0.09731800766283523
NYC GEOG DIST #27 - QUEENS,0.16,0.18,0.15114341085271318
NYC GEOG DIST #28 - QUEENS,0.14,0.17,0.1275054945054945
NYC GEOG DIST #29 - QUEENS,0.14,0.17,0.12825562700964632
NYC GEOG DIST #30 - QUEENS,0.13,0.14,0.12478865083960625
NYC GEOG DIST #31 - STATEN ISLAND,0.11,0.1,0.11371695178849145
LEWISTON-PORTER CSD,0.08,0.14,0.07652173913043478
LOCKPORT CITY SD,0.08,0.06,0.08255737704918033
NEWFANE CSD,0.09,0.4,0.06367924528301887
NIAGARA-WHEATFIELD CSD,0.03,0.06,0.025421686746987953
NIAGARA FALLS CITY SD,0.1,0.07,0.10329268292682925
NORTH TONAWANDA CITY SD,0.13,0.21,0.10908256880733945
STARPOINT CSD,0.1,0.42,0.06514851485148516
ROYALTON-HARTLAND CSD,0.14,0.33,0.12168674698795183
BARKER CSD,0.08,0.5,0.06666666666666667
