DISTRICT,YEAR,PER_TURN_ALL,PER_TURN_INEXP,NUM_TEACH,NUM_TEACH_INEXP,PER_TEACH_INEXP,NUM_TEACH_EXP,PER_TEACH_EXP,PER_FREE_LUNCH,PER_REDUCED_LUNCH,PER_FRPL,K12,ATTENDANCE_RATE,PER_ELL,PER_BLACK,PER_HISP,PER_ASIAN,PER_WHITE,PER_SWD,PER_STATE_LOCAL_EXP,PER_FED_STATE_LOCAL_EXP,NUM_TOT_TURN,NUM_INEXP_TURN,NUM_EXP_TURN,PER_TURN_EXP
LONG LAKE CSD,2022,0.06,0.1,20.0,6.0,30.0,14.0,70.0,44.0,0.0,44.0,64.0,93.0,3.0,3.0,5.0,0.0,91.0,16.0,54376.0,54975.0,1.2,0.6000000000000001,0.5999999999999999,0.04285714285714285
RAQUETTE LAKE UFSD,2022,,,,,,,,,,,,,,,,,,,,,,,,
WELLS CSD,2022,0.14,0.5,23.0,1.0,4.0,22.0,95.65217391304348,32.0,4.0,36.0,129.0,92.0,0.0,2.0,3.0,0.0,95.0,16.0,31533.0,33478.0,3.22,0.5,2.72,0.12363636363636364
WEST CANADA VALLEY CSD,2022,0.18,0.41,65.0,16.0,25.0,49.0,75.38461538461539,38.0,0.0,38.0,615.0,94.0,1.0,0.0,2.0,0.0,96.0,12.0,22858.0,24260.0,11.7,6.56,5.14,0.10489795918367346
FRANKFORT-SCHUYLER CSD,2022,0.13,0.2,74.0,2.0,3.0,72.0,97.2972972972973,33.0,6.0,39.0,823.0,92.0,3.0,1.0,2.0,1.0,92.0,14.0,18769.0,21289.0,9.620000000000001,0.4,9.22,0.12805555555555556
HERKIMER CSD,2022,0.06,0.13,98.0,27.0,28.0,71.0,72.44897959183673,56.0,6.0,62.0,1063.0,88.0,0.0,5.0,3.0,1.0,88.0,14.0,16045.0,19011.0,5.88,3.5100000000000002,2.3699999999999997,0.03338028169014084
LITTLE FALLS CITY SD,2022,0.14,0.28,101.0,17.0,17.0,84.0,83.16831683168317,46.0,3.0,49.0,1071.0,91.0,0.0,0.0,4.0,1.0,90.0,17.0,19958.0,23109.0,14.14,4.760000000000001,9.379999999999999,0.11166666666666665
DOLGEVILLE CSD,2022,0.16,0.3,71.0,12.0,17.0,59.0,83.09859154929578,82.0,3.0,85.0,787.0,93.0,0.0,1.0,0.0,0.0,99.0,12.0,17673.0,20695.0,11.36,3.5999999999999996,7.76,0.13152542372881357
POLAND CSD,2022,0.14,0.17,50.0,9.0,18.0,41.0,82.0,40.0,4.0,44.0,478.0,96.0,0.0,0.0,4.0,0.0,94.0,14.0,21928.0,23492.0,7.000000000000001,1.53,5.470000000000001,0.13341463414634147
VAN HORNESVILLE-OWEN D YOUNG CSD,2022,0.1,0.13,22.0,6.0,27.0,16.0,72.72727272727273,48.0,7.0,55.0,172.0,94.0,1.0,0.0,3.0,0.0,95.0,8.0,23879.0,29942.0,2.2,0.78,1.4200000000000002,0.08875000000000001
TOWN OF WEBB UFSD,2022,0.15,0.13,29.0,3.0,10.0,26.0,89.65517241379311,34.0,5.0,39.0,245.0,88.0,0.0,1.0,2.0,0.0,96.0,20.0,31695.0,32836.0,4.35,0.39,3.9599999999999995,0.15230769230769228
MOUNT MARKHAM CSD,2022,0.09,0.07,93.0,9.0,10.0,84.0,90.32258064516128,41.0,3.0,44.0,1015.0,92.0,2.0,1.0,2.0,0.0,97.0,19.0,18730.0,20962.0,8.37,0.6300000000000001,7.739999999999999,0.09214285714285714
CENTRAL VALLEY CSD AT ILION-MOHAWK,2022,0.1,0.33,169.0,26.0,15.0,143.0,84.61538461538461,63.0,3.0,66.0,2003.0,91.0,0.0,2.0,4.0,1.0,90.0,19.0,17343.0,19586.0,16.900000000000002,8.58,8.320000000000002,0.058181818181818196
SOUTH JEFFERSON CSD,2022,0.04,0.0,130.0,21.0,16.0,109.0,83.84615384615385,40.0,6.0,46.0,1794.0,93.0,0.0,0.0,2.0,0.0,95.0,18.0,13736.0,15846.0,5.2,0.0,5.2,0.047706422018348627
ALEXANDRIA CSD,2022,0.26,0.42,49.0,17.0,35.0,32.0,65.3061224489796,39.0,5.0,44.0,456.0,93.0,0.0,2.0,2.0,1.0,94.0,15.0,22150.0,23883.0,12.74,7.14,5.6000000000000005,0.17500000000000002
INDIAN RIVER CSD,2022,0.13,0.11,304.0,56.0,18.0,248.0,81.57894736842105,30.0,14.0,44.0,3381.0,92.0,4.0,8.0,16.0,3.0,65.0,16.0,18855.0,19986.0,39.52,6.16,33.36,0.13451612903225807
GENERAL BROWN CSD,2022,0.2,0.29,85.0,17.0,20.0,68.0,80.0,37.0,2.0,39.0,1328.0,91.0,1.0,1.0,2.0,1.0,93.0,17.0,14047.0,15868.0,17.0,4.93,12.07,0.1775
THOUSAND ISLANDS CSD,2022,0.18,0.4,73.0,9.0,12.0,64.0,87.67123287671232,36.0,2.0,38.0,825.0,92.0,0.0,1.0,4.0,0.0,91.0,15.0,16540.0,17869.0,13.139999999999999,3.6,9.54,0.1490625
BELLEVILLE-HENDERSON CSD,2022,0.08,0.4,45.0,10.0,22.0,35.0,77.77777777777779,48.0,1.0,49.0,473.0,94.0,1.0,0.0,3.0,1.0,94.0,17.0,17152.0,19610.0,3.6,4.0,-0.3999999999999999,-0.011428571428571427
SACKETS HARBOR CSD,2022,0.08,0.2,43.0,8.0,19.0,35.0,81.3953488372093,29.0,2.0,31.0,397.0,95.0,0.0,1.0,8.0,1.0,88.0,16.0,17914.0,20202.0,3.44,1.6,1.8399999999999999,0.05257142857142857
LYME CSD,2022,0.23,0.5,31.0,9.0,29.0,22.0,70.96774193548387,45.0,1.0,46.0,320.0,90.0,0.0,2.0,4.0,1.0,92.0,21.0,21128.0,22886.0,7.13,4.5,2.63,0.11954545454545454
LA FARGEVILLE CSD,2022,0.12,0.2,44.0,7.0,16.0,37.0,84.0909090909091,49.0,4.0,53.0,465.0,92.0,0.0,1.0,2.0,0.0,93.0,17.0,16925.0,18745.0,5.279999999999999,1.4000000000000001,3.879999999999999,0.10486486486486483
WATERTOWN CITY SD,2022,0.11,0.2,293.0,61.0,21.0,232.0,79.18088737201366,60.0,4.0,64.0,3906.0,87.0,2.0,8.0,11.0,2.0,68.0,18.0,11164.0,15081.0,32.23,12.200000000000001,20.029999999999994,0.08633620689655169
CARTHAGE CSD,2022,0.13,0.29,274.0,39.0,14.0,235.0,85.76642335766424,35.0,6.0,41.0,2912.0,95.0,1.0,6.0,11.0,2.0,74.0,18.0,17538.0,19284.0,35.620000000000005,11.309999999999999,24.310000000000006,0.10344680851063832
COPENHAGEN CSD,2022,0.28,0.5,50.0,16.0,32.0,34.0,68.0,35.0,4.0,39.0,437.0,95.0,0.0,1.0,3.0,0.0,94.0,17.0,17103.0,20712.0,14.000000000000002,8.0,6.000000000000002,0.17647058823529416
HARRISVILLE CSD,2022,0.15,0.38,34.0,6.0,18.0,28.0,82.35294117647058,45.0,6.0,51.0,329.0,93.0,0.0,0.0,2.0,1.0,94.0,16.0,25837.0,28154.0,5.1,2.2800000000000002,2.8199999999999994,0.10071428571428569
LOWVILLE ACADEMY & CSD,2022,0.21,0.27,112.0,18.0,16.0,94.0,83.92857142857143,37.0,4.0,41.0,1224.0,95.0,0.0,1.0,3.0,0.0,92.0,14.0,15728.0,18177.0,23.52,4.86,18.66,0.19851063829787235
SOUTH LEWIS CSD,2022,0.03,0.5,94.0,0.0,0.0,94.0,100.0,50.0,4.0,54.0,925.0,93.0,1.0,1.0,2.0,0.0,95.0,27.0,20590.0,22868.0,2.82,0.0,2.82,0.03
BEAVER RIVER CSD,2022,0.18,0.36,64.0,7.0,11.0,57.0,89.0625,36.0,4.0,40.0,806.0,95.0,0.0,1.0,1.0,0.0,98.0,18.0,15623.0,17919.0,11.52,2.52,9.0,0.15789473684210525
AVON CSD,2022,0.09,0.14,95.0,9.0,9.0,86.0,90.52631578947368,27.0,4.0,31.0,904.0,96.0,2.0,2.0,7.0,1.0,88.0,9.0,17912.0,19862.0,8.549999999999999,1.2600000000000002,7.289999999999999,0.0847674418604651
CALEDONIA-MUMFORD CSD,2022,0.11,0.18,78.0,15.0,19.0,63.0,80.76923076923077,31.0,5.0,36.0,748.0,95.0,1.0,2.0,2.0,1.0,93.0,13.0,18650.0,20592.0,8.58,2.6999999999999997,5.880000000000001,0.09333333333333335
GENESEO CSD,2022,0.16,0.31,91.0,10.0,11.0,81.0,89.01098901098901,38.0,1.0,39.0,831.0,92.0,4.0,1.0,12.0,2.0,81.0,15.0,19365.0,21695.0,14.56,3.1,11.46,0.14148148148148149
LIVONIA CSD,2022,0.07,0.0,127.0,7.0,6.0,120.0,94.48818897637796,34.0,3.0,37.0,1422.0,93.0,1.0,1.0,3.0,0.0,93.0,14.0,17368.0,20026.0,8.89,0.0,8.89,0.07408333333333333
MT MORRIS CSD,2022,0.05,0.0,63.0,13.0,21.0,50.0,79.36507936507937,62.0,0.0,62.0,543.0,92.0,10.0,3.0,26.0,1.0,69.0,17.0,21906.0,25231.0,3.1500000000000004,0.0,3.1500000000000004,0.063
DANSVILLE CSD,2022,0.08,0.13,134.0,17.0,13.0,117.0,87.31343283582089,46.0,6.0,52.0,1225.0,90.0,1.0,1.0,3.0,0.0,93.0,15.0,18254.0,20994.0,10.72,2.21,8.510000000000002,0.07273504273504275
DALTON-NUNDA CSD (KESHEQUA),2022,0.13,0.36,71.0,13.0,18.0,58.0,81.69014084507043,48.0,3.0,51.0,573.0,93.0,0.0,0.0,2.0,0.0,97.0,12.0,21792.0,23340.0,9.23,4.68,4.550000000000001,0.07844827586206898
YORK CSD,2022,0.09,0.27,85.0,16.0,19.0,69.0,81.17647058823529,41.0,4.0,45.0,668.0,94.0,3.0,1.0,6.0,1.0,92.0,16.0,21112.0,22829.0,7.6499999999999995,4.32,3.329999999999999,0.04826086956521738
BROOKFIELD CSD,2022,0.04,0.0,26.0,7.0,27.0,19.0,73.07692307692307,44.0,5.0,49.0,194.0,90.0,0.0,1.0,0.0,0.0,99.0,19.0,,,1.04,0.0,1.04,0.05473684210526316
CAZENOVIA CSD,2022,0.16,0.26,104.0,17.0,16.0,87.0,83.65384615384616,22.0,2.0,24.0,1340.0,92.0,1.0,1.0,4.0,1.0,93.0,10.0,18494.0,19713.0,16.64,4.42,12.22,0.14045977011494254
DERUYTER CSD,2022,0.23,0.5,45.0,4.0,9.0,41.0,91.11111111111111,49.0,2.0,51.0,311.0,90.0,0.0,1.0,3.0,0.0,93.0,19.0,21065.0,28518.0,10.35,2.0,8.35,0.20365853658536584
MORRISVILLE-EATON CSD,2022,0.13,0.2,62.0,9.0,15.0,53.0,85.48387096774194,44.0,4.0,48.0,561.0,91.0,1.0,0.0,2.0,1.0,94.0,21.0,21295.0,23323.0,8.06,1.8,6.260000000000001,0.11811320754716982
HAMILTON CSD,2022,0.14,0.06,50.0,14.0,28.0,36.0,72.0,26.0,1.0,27.0,546.0,94.0,2.0,3.0,2.0,3.0,90.0,16.0,20373.0,21753.0,7.000000000000001,0.84,6.160000000000001,0.17111111111111113
CANASTOTA CSD,2022,0.13,0.25,110.0,24.0,22.0,86.0,78.18181818181819,41.0,2.0,43.0,1256.0,91.0,1.0,2.0,2.0,1.0,90.0,17.0,19310.0,21320.0,14.3,6.0,8.3,0.09651162790697675
MADISON CSD,2022,0.23,0.5,43.0,8.0,19.0,35.0,81.3953488372093,46.0,5.0,51.0,415.0,92.0,1.0,1.0,1.0,0.0,98.0,18.0,19148.0,22101.0,9.89,4.0,5.890000000000001,0.1682857142857143
ONEIDA CITY SD,2022,0.12,0.24,146.0,13.0,9.0,133.0,91.0958904109589,46.0,4.0,50.0,1726.0,90.0,1.0,1.0,3.0,1.0,86.0,19.0,18350.0,22071.0,17.52,3.12,14.399999999999999,0.10827067669172931
STOCKBRIDGE VALLEY CSD,2022,0.21,0.35,44.0,12.0,27.0,32.0,72.72727272727273,43.0,7.0,50.0,389.0,93.0,2.0,0.0,3.0,0.0,93.0,13.0,21253.0,23174.0,9.24,4.199999999999999,5.040000000000001,0.15750000000000003
CHITTENANGO CSD,2022,0.11,0.18,160.0,9.0,6.0,151.0,94.375,31.0,4.0,35.0,1850.0,93.0,0.0,1.0,4.0,1.0,90.0,18.0,17323.0,18822.0,17.6,1.6199999999999999,15.980000000000002,0.10582781456953644
BRIGHTON CSD,2022,0.1,0.1,286.0,43.0,15.0,243.0,84.96503496503497,19.0,1.0,20.0,3378.0,94.0,3.0,8.0,7.0,10.0,66.0,12.0,20556.0,21114.0,28.6,4.3,24.3,0.1
GATES CHILI CSD,2022,0.12,0.13,311.0,28.0,9.0,283.0,90.9967845659164,39.0,1.0,40.0,3553.0,91.0,5.0,18.0,15.0,5.0,52.0,13.0,24100.0,25446.0,37.32,3.64,33.68,0.11901060070671378
GREECE CSD,2022,0.07,0.13,870.0,86.0,10.0,784.0,90.11494252873563,54.0,3.0,57.0,9897.0,90.0,5.0,16.0,18.0,5.0,54.0,15.0,18065.0,19708.0,60.900000000000006,11.18,49.720000000000006,0.06341836734693879
EAST IRONDEQUOIT CSD,2022,0.17,0.25,286.0,49.0,17.0,237.0,82.86713286713287,56.0,1.0,57.0,2710.0,92.0,5.0,21.0,25.0,2.0,44.0,10.0,21922.0,23817.0,48.620000000000005,12.25,36.370000000000005,0.15345991561181435
WEST IRONDEQUOIT CSD,2022,0.14,0.21,300.0,45.0,15.0,255.0,85.0,29.0,2.0,31.0,3587.0,91.0,3.0,9.0,13.0,3.0,69.0,11.0,18074.0,19088.0,42.00000000000001,9.45,32.55000000000001,0.12764705882352945
HONEOYE FALLS-LIMA CSD,2022,0.08,0.09,180.0,26.0,14.0,154.0,85.55555555555556,17.0,1.0,18.0,2042.0,93.0,1.0,1.0,3.0,1.0,91.0,13.0,19268.0,20615.0,14.4,2.34,12.06,0.07831168831168832
SPENCERPORT CSD,2022,0.12,0.39,355.0,45.0,13.0,310.0,87.32394366197182,32.0,3.0,35.0,3492.0,92.0,3.0,6.0,9.0,2.0,78.0,13.0,18799.0,20215.0,42.6,17.55,25.05,0.08080645161290323
HILTON CSD,2022,0.1,0.23,381.0,64.0,17.0,317.0,83.2020997375328,20.0,2.0,22.0,4162.0,92.0,1.0,3.0,6.0,1.0,87.0,13.0,16772.0,17741.0,38.1,14.72,23.380000000000003,0.07375394321766562
PENFIELD CSD,2022,0.11,0.37,391.0,54.0,14.0,337.0,86.18925831202046,20.0,1.0,21.0,4492.0,94.0,2.0,5.0,6.0,3.0,81.0,9.0,17523.0,18040.0,43.01,19.98,23.029999999999998,0.06833827893175073
FAIRPORT CSD,2022,0.12,0.49,496.0,56.0,11.0,440.0,88.70967741935483,23.0,2.0,25.0,5407.0,94.0,2.0,4.0,5.0,2.0,85.0,12.0,19341.0,20290.0,59.519999999999996,27.439999999999998,32.08,0.07290909090909091
EAST ROCHESTER UFSD,2022,0.14,0.0,96.0,17.0,18.0,79.0,82.29166666666666,48.0,4.0,52.0,937.0,91.0,3.0,10.0,13.0,1.0,69.0,18.0,23610.0,25261.0,13.440000000000001,0.0,13.440000000000001,0.17012658227848104
PITTSFORD CSD,2022,0.07,0.18,481.0,33.0,7.0,448.0,93.13929313929314,2.0,1.0,3.0,5505.0,95.0,1.0,3.0,6.0,13.0,71.0,13.0,20321.0,22043.0,33.67,5.9399999999999995,27.730000000000004,0.06189732142857144
CHURCHVILLE-CHILI CSD,2022,0.14,0.25,324.0,62.0,19.0,262.0,80.8641975308642,28.0,3.0,31.0,3696.0,93.0,2.0,9.0,8.0,2.0,75.0,11.0,16290.0,17294.0,45.36000000000001,15.5,29.860000000000007,0.11396946564885499
ROCHESTER CITY SD,2022,0.09,0.09,2183.0,177.0,8.0,2006.0,91.8918918918919,90.0,0.0,90.0,22238.0,77.0,16.0,52.0,34.0,3.0,9.0,22.0,19092.0,23266.0,196.47,15.93,180.54,0.09
RUSH-HENRIETTA CSD,2022,0.11,0.23,488.0,38.0,8.0,450.0,92.21311475409836,40.0,4.0,44.0,5286.0,93.0,8.0,13.0,9.0,17.0,54.0,11.0,19899.0,21444.0,53.68,8.74,44.94,0.09986666666666666
BROCKPORT CSD,2022,0.11,0.19,273.0,33.0,12.0,240.0,87.91208791208791,37.0,3.0,40.0,2973.0,91.0,2.0,4.0,11.0,1.0,77.0,17.0,21106.0,21740.0,30.03,6.2700000000000005,23.76,0.099
WEBSTER CSD,2022,0.14,0.44,629.0,102.0,16.0,527.0,83.78378378378379,0.0,0.0,0.0,7815.0,95.0,2.0,4.0,8.0,3.0,81.0,11.0,17473.0,19513.0,88.06,44.88,43.18,0.08193548387096775
WHEATLAND-CHILI CSD,2022,0.08,0.08,75.0,7.0,9.0,68.0,90.66666666666666,39.0,4.0,43.0,639.0,92.0,1.0,14.0,10.0,2.0,68.0,13.0,21902.0,23986.0,6.0,0.56,5.4399999999999995,0.07999999999999999
AMSTERDAM CITY SD,2022,0.2,0.2,219.0,28.0,13.0,191.0,87.21461187214612,65.0,2.0,67.0,3498.0,83.0,7.0,5.0,49.0,1.0,39.0,16.0,16342.0,18380.0,43.800000000000004,5.6000000000000005,38.2,0.2
CANAJOHARIE CSD,2022,0.12,0.1,83.0,16.0,19.0,67.0,80.72289156626506,50.0,1.0,51.0,835.0,94.0,1.0,1.0,2.0,0.0,94.0,11.0,18898.0,22948.0,9.959999999999999,1.6,8.36,0.12477611940298507
FONDA-FULTONVILLE CSD,2022,0.12,0.44,107.0,12.0,11.0,95.0,88.78504672897196,30.0,2.0,32.0,1198.0,93.0,1.0,0.0,5.0,1.0,92.0,15.0,17512.0,19492.0,12.84,5.28,7.56,0.07957894736842105
FORT PLAIN CSD,2022,0.14,0.33,73.0,5.0,7.0,68.0,93.15068493150685,54.0,1.0,55.0,666.0,90.0,0.0,3.0,6.0,1.0,85.0,20.0,20067.0,24834.0,10.22,1.6500000000000001,8.57,0.1260294117647059
OPPENHEIM-EPHRATAH-ST. JOHNSVILLE CS,2022,0.1,0.23,69.0,7.0,10.0,62.0,89.85507246376811,47.0,0.0,47.0,715.0,89.0,0.0,1.0,1.0,0.0,98.0,16.0,18084.0,21382.0,6.9,1.61,5.29,0.0853225806451613
GLEN COVE CITY SD,2022,0.13,0.29,295.0,47.0,16.0,248.0,84.06779661016948,59.0,5.0,64.0,3050.0,90.0,20.0,8.0,65.0,3.0,23.0,19.0,24371.0,25145.0,38.35,13.629999999999999,24.720000000000002,0.09967741935483872
HEMPSTEAD UFSD,2022,0.15,0.22,328.0,11.0,3.0,317.0,96.64634146341463,71.0,4.0,75.0,5880.0,85.0,44.0,20.0,76.0,1.0,2.0,11.0,22918.0,25919.0,49.199999999999996,2.42,46.779999999999994,0.14757097791798104
UNIONDALE UFSD,2022,0.08,0.12,531.0,23.0,4.0,508.0,95.66854990583803,59.0,1.0,60.0,6018.0,87.0,24.0,34.0,63.0,1.0,1.0,14.0,26529.0,29152.0,42.480000000000004,2.76,39.720000000000006,0.07818897637795277
EAST MEADOW UFSD,2022,0.07,0.07,648.0,64.0,10.0,584.0,90.12345679012346,20.0,2.0,22.0,7398.0,95.0,4.0,4.0,23.0,28.0,43.0,13.0,25490.0,26151.0,45.36000000000001,4.48,40.88000000000001,0.07000000000000002
NORTH BELLMORE UFSD,2022,0.17,0.48,164.0,20.0,12.0,144.0,87.8048780487805,8.0,0.0,8.0,2039.0,93.0,3.0,3.0,17.0,10.0,67.0,18.0,23799.0,24966.0,27.880000000000003,9.6,18.28,0.12694444444444444
LEVITTOWN UFSD,2022,0.12,0.29,588.0,53.0,9.0,535.0,90.98639455782312,14.0,2.0,16.0,7055.0,95.0,4.0,1.0,23.0,14.0,60.0,13.0,25903.0,26414.0,70.56,15.37,55.190000000000005,0.10315887850467291
SEAFORD UFSD,2022,0.1,0.38,209.0,27.0,13.0,182.0,87.08133971291866,9.0,1.0,10.0,2171.0,94.0,2.0,1.0,10.0,3.0,85.0,14.0,28160.0,28773.0,20.900000000000002,10.26,10.640000000000002,0.058461538461538474
BELLMORE UFSD,2022,0.09,0.23,81.0,6.0,7.0,75.0,92.5925925925926,8.0,0.0,8.0,952.0,95.0,3.0,1.0,13.0,9.0,75.0,22.0,29355.0,29734.0,7.29,1.3800000000000001,5.91,0.0788
ROOSEVELT UFSD,2022,0.13,0.24,245.0,45.0,18.0,200.0,81.63265306122449,59.0,1.0,60.0,3018.0,86.0,30.0,40.0,59.0,1.0,0.0,13.0,24019.0,26911.0,31.85,10.799999999999999,21.050000000000004,0.10525000000000002
FREEPORT UFSD,2022,0.09,0.18,506.0,63.0,12.0,443.0,87.54940711462451,54.0,2.0,56.0,6338.0,93.0,23.0,22.0,70.0,1.0,5.0,15.0,23667.0,24270.0,45.54,11.34,34.2,0.07720090293453725
BALDWIN UFSD,2022,0.13,0.49,376.0,22.0,6.0,354.0,94.14893617021278,33.0,4.0,37.0,4368.0,95.0,5.0,48.0,32.0,5.0,10.0,18.0,24384.0,25812.0,48.88,10.78,38.1,0.1076271186440678
OCEANSIDE UFSD,2022,0.23,0.58,405.0,70.0,17.0,335.0,82.71604938271605,16.0,2.0,18.0,5370.0,95.0,5.0,3.0,24.0,4.0,66.0,13.0,24130.0,25115.0,93.15,40.599999999999994,52.55000000000001,0.15686567164179108
MALVERNE UFSD,2022,0.06,0.13,170.0,23.0,14.0,147.0,86.47058823529412,21.0,0.0,21.0,1725.0,94.0,2.0,44.0,28.0,8.0,19.0,15.0,27317.0,28883.0,10.2,2.99,7.209999999999999,0.04904761904761904
VALLEY STREAM 13 UFSD,2022,0.15,0.29,161.0,19.0,12.0,142.0,88.19875776397515,32.0,2.0,34.0,1852.0,93.0,7.0,20.0,29.0,26.0,22.0,15.0,24168.0,25644.0,24.15,5.51,18.64,0.13126760563380283
HEWLETT-WOODMERE UFSD,2022,0.11,0.27,296.0,32.0,11.0,264.0,89.1891891891892,23.0,3.0,26.0,2732.0,95.0,4.0,9.0,18.0,10.0,60.0,17.0,35999.0,36620.0,32.56,8.64,23.92,0.0906060606060606
LAWRENCE UFSD,2022,0.12,0.42,179.0,14.0,8.0,165.0,92.17877094972067,66.0,3.0,69.0,2260.0,89.0,23.0,15.0,68.0,4.0,11.0,18.0,28818.0,29985.0,21.48,5.88,15.600000000000001,0.09454545454545456
ELMONT UFSD,2022,0.11,0.22,331.0,39.0,12.0,292.0,88.21752265861026,43.0,6.0,49.0,3142.0,93.0,12.0,38.0,31.0,24.0,5.0,13.0,22322.0,23905.0,36.410000000000004,8.58,27.830000000000005,0.09530821917808222
FRANKLIN SQUARE UFSD,2022,0.1,0.21,140.0,24.0,17.0,116.0,82.85714285714286,15.0,0.0,15.0,1808.0,93.0,3.0,3.0,25.0,14.0,55.0,14.0,18260.0,19275.0,14.0,5.04,8.96,0.07724137931034483
GARDEN CITY UFSD,2022,0.14,0.31,310.0,21.0,7.0,289.0,93.2258064516129,3.0,0.0,3.0,3928.0,95.0,1.0,1.0,7.0,9.0,81.0,13.0,25488.0,25877.0,43.400000000000006,6.51,36.89000000000001,0.12764705882352945
EAST ROCKAWAY UFSD,2022,0.08,0.0,118.0,10.0,8.0,108.0,91.52542372881356,15.0,1.0,16.0,1119.0,93.0,4.0,4.0,30.0,5.0,57.0,15.0,30699.0,31861.0,9.44,0.0,9.44,0.0874074074074074
LYNBROOK UFSD,2022,0.13,0.41,273.0,33.0,12.0,240.0,87.91208791208791,16.0,1.0,17.0,2725.0,95.0,2.0,5.0,20.0,7.0,65.0,15.0,28269.0,28911.0,35.49,13.53,21.96,0.0915
ROCKVILLE CENTRE UFSD,2022,0.07,0.33,336.0,28.0,8.0,308.0,91.66666666666666,12.0,1.0,13.0,3453.0,94.0,2.0,6.0,16.0,3.0,72.0,16.0,31555.0,32648.0,23.520000000000003,9.24,14.280000000000003,0.04636363636363637
FLORAL PARK-BELLEROSE UFSD,2022,0.17,0.13,115.0,19.0,17.0,96.0,83.47826086956522,12.0,1.0,13.0,1467.0,94.0,2.0,2.0,19.0,21.0,53.0,16.0,16654.0,17469.0,19.55,2.47,17.080000000000002,0.1779166666666667
WANTAGH UFSD,2022,0.17,0.47,233.0,12.0,5.0,221.0,94.84978540772532,7.0,1.0,8.0,2754.0,94.0,1.0,1.0,9.0,3.0,85.0,15.0,24633.0,25120.0,39.61,5.64,33.97,0.153710407239819
VALLEY STREAM 24 UFSD,2022,0.09,0.17,92.0,13.0,14.0,79.0,85.86956521739131,37.0,4.0,41.0,1013.0,93.0,9.0,22.0,44.0,17.0,15.0,10.0,26860.0,28978.0,8.28,2.21,6.069999999999999,0.07683544303797468
MERRICK UFSD,2022,0.14,0.41,152.0,15.0,10.0,137.0,90.13157894736842,7.0,0.0,7.0,1543.0,95.0,2.0,2.0,10.0,5.0,82.0,14.0,30159.0,30983.0,21.28,6.1499999999999995,15.130000000000003,0.11043795620437959
ISLAND TREES UFSD,2022,0.09,0.21,205.0,23.0,11.0,182.0,88.78048780487805,23.0,3.0,26.0,2185.0,94.0,4.0,2.0,24.0,17.0,56.0,10.0,25042.0,26445.0,18.45,4.83,13.62,0.07483516483516484
WEST HEMPSTEAD UFSD,2022,0.07,0.3,157.0,15.0,10.0,142.0,90.44585987261146,34.0,5.0,39.0,1635.0,93.0,9.0,20.0,48.0,8.0,22.0,20.0,30580.0,31923.0,10.99,4.5,6.49,0.04570422535211268
NORTH MERRICK UFSD,2022,0.17,0.7,76.0,5.0,7.0,71.0,93.42105263157895,8.0,1.0,9.0,1201.0,94.0,4.0,3.0,17.0,9.0,68.0,18.0,24659.0,26355.0,12.920000000000002,3.5,9.420000000000002,0.1326760563380282
VALLEY STREAM 30 UFSD,2022,0.15,0.17,121.0,23.0,19.0,98.0,80.99173553719008,40.0,2.0,42.0,1360.0,94.0,10.0,34.0,29.0,28.0,6.0,10.0,24244.0,25438.0,18.15,3.91,14.239999999999998,0.14530612244897959
ISLAND PARK UFSD,2022,0.1,0.14,78.0,6.0,8.0,72.0,92.3076923076923,34.0,2.0,36.0,630.0,93.0,7.0,4.0,41.0,3.0,48.0,14.0,31184.0,33284.0,7.800000000000001,0.8400000000000001,6.960000000000001,0.09666666666666668
VALLEY STREAM CENTRAL HS DISTRICT,2022,0.08,0.16,373.0,34.0,9.0,339.0,90.88471849865952,31.0,1.0,32.0,4662.0,95.0,4.0,31.0,30.0,23.0,15.0,14.0,22904.0,23308.0,29.84,5.44,24.4,0.071976401179941
SEWANHAKA CENTRAL HS DISTRICT,2022,0.11,0.16,620.0,96.0,15.0,524.0,84.51612903225806,21.0,2.0,23.0,7817.0,95.0,4.0,22.0,22.0,26.0,29.0,13.0,22703.0,23429.0,68.2,15.36,52.84,0.10083969465648855
BELLMORE-MERRICK CENTRAL HS DISTRICT,2022,0.07,0.36,463.0,38.0,8.0,425.0,91.792656587473,11.0,1.0,12.0,5141.0,95.0,1.0,3.0,12.0,8.0,75.0,16.0,27297.0,27744.0,32.410000000000004,13.68,18.730000000000004,0.044070588235294125
LONG BEACH CITY SD,2022,0.13,0.36,360.0,23.0,6.0,337.0,93.61111111111111,25.0,1.0,26.0,3420.0,91.0,5.0,8.0,27.0,4.0,59.0,16.0,31978.0,33234.0,46.800000000000004,8.28,38.52,0.1143026706231454
WESTBURY UFSD,2022,0.08,0.16,366.0,42.0,11.0,324.0,88.52459016393442,0.0,0.0,0.0,4589.0,91.0,32.0,21.0,74.0,1.0,3.0,10.0,22935.0,25691.0,29.28,6.72,22.560000000000002,0.06962962962962964
EAST WILLISTON UFSD,2022,0.17,0.46,183.0,36.0,20.0,147.0,80.32786885245902,9.0,0.0,9.0,1620.0,96.0,3.0,1.0,8.0,34.0,54.0,12.0,33719.0,34374.0,31.110000000000003,16.560000000000002,14.55,0.0989795918367347
