YEAR,DISTRICT,PER_FREE_LUNCH,PER_REDUCED_LUNCH,PER_BLACK,PER_HISP,PER_ASIAN,PER_FRPL,PER_MINORITY
2014,PLAINVIEW-OLD BETHPAGE CENTRAL SCHOOL DISTRICT,4.0,2.0,0.0,4.0,16.0,6.0,20.0
2014,OYSTER BAY-EAST NORWICH CENTRAL SCHOOL DISTRICT,15.0,4.0,3.0,18.0,4.0,19.0,25.0
2014,JERICHO UNION FREE SCHOOL DISTRICT,0.0,0.0,2.0,3.0,43.0,0.0,48.0
2014,HICKSVILLE UNION FREE SCHOOL DISTRICT,21.0,7.0,3.0,26.0,29.0,28.0,58.0
2014,PLAINEDGE UNION FREE SCHOOL DISTRICT,6.0,2.0,0.0,5.0,2.0,8.0,7.0
2014,BETHPAGE UNION FREE SCHOOL DISTRICT,8.0,4.0,0.0,12.0,9.0,12.0,21.0
2014,FARMINGDALE UNION FREE SCHOOL DISTRICT,15.0,4.0,6.0,18.0,5.0,19.0,29.0
2014,MASSAPEQUA UNION FREE SCHOOL DISTRICT,7.0,2.0,0.0,3.0,1.0,9.0,4.0
2014,NYC SPECIAL SCHOOLS - DISTRICT 75,66.0,1.0,39.0,39.0,7.0,67.0,85.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,60.0,5.0,18.0,41.0,22.0,65.0,81.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,51.0,5.0,17.0,34.0,23.0,56.0,74.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT # 3,48.0,4.0,25.0,35.0,8.0,52.0,68.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT # 4,78.0,4.0,27.0,62.0,7.0,82.0,96.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT # 5,80.0,4.0,52.0,40.0,3.0,84.0,95.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT # 6,83.0,4.0,8.0,87.0,1.0,87.0,96.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT # 7,90.0,3.0,27.0,70.0,1.0,93.0,98.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT # 8,77.0,4.0,24.0,64.0,5.0,81.0,93.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT # 9,89.0,3.0,30.0,67.0,1.0,92.0,98.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT #10,80.0,4.0,18.0,68.0,8.0,84.0,94.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT #11,71.0,5.0,43.0,42.0,7.0,76.0,92.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT #12,87.0,3.0,27.0,69.0,2.0,90.0,98.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT #13,64.0,8.0,52.0,16.0,19.0,72.0,87.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT #14,71.0,4.0,25.0,59.0,4.0,75.0,88.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT #15,57.0,3.0,16.0,41.0,15.0,60.0,72.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT #16,83.0,3.0,79.0,17.0,1.0,86.0,97.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT #17,79.0,5.0,81.0,14.0,2.0,84.0,97.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT #18,74.0,6.0,90.0,7.0,1.0,80.0,98.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT #19,84.0,3.0,50.0,41.0,6.0,87.0,97.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT #20,70.0,6.0,4.0,26.0,42.0,76.0,72.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT #21,65.0,5.0,17.0,25.0,25.0,70.0,67.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT #22,59.0,7.0,38.0,15.0,18.0,66.0,71.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT #23,85.0,4.0,77.0,20.0,1.0,89.0,98.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT #32,86.0,3.0,20.0,76.0,2.0,89.0,98.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT #24,69.0,6.0,3.0,62.0,20.0,75.0,85.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT #25,60.0,10.0,10.0,28.0,47.0,70.0,85.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT #26,46.0,12.0,13.0,17.0,51.0,58.0,81.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT #27,71.0,7.0,26.0,37.0,23.0,78.0,86.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT #28,62.0,8.0,25.0,26.0,29.0,70.0,80.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT #29,68.0,9.0,67.0,14.0,15.0,77.0,96.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT #30,67.0,6.0,7.0,54.0,22.0,73.0,83.0
2014,NEW YORK CITY GEOGRAPHIC DISTRICT #31,48.0,8.0,13.0,26.0,8.0,56.0,47.0
2014,LEWISTON-PORTER CENTRAL SCHOOL DISTRICT,13.0,5.0,2.0,2.0,2.0,18.0,6.0
2014,LOCKPORT CITY SCHOOL DISTRICT,41.0,10.0,14.0,6.0,1.0,51.0,21.0
2014,NEWFANE CENTRAL SCHOOL DISTRICT,25.0,10.0,1.0,2.0,0.0,35.0,3.0
2014,NIAGARA-WHEATFIELD CENTRAL SCHOOL DISTRICT,21.0,6.0,3.0,2.0,2.0,27.0,7.0
2014,NIAGARA FALLS CITY SCHOOL DISTRICT,62.0,6.0,35.0,5.0,2.0,68.0,42.0
2014,NORTH TONAWANDA CITY SCHOOL DISTRICT,29.0,8.0,2.0,3.0,1.0,37.0,6.0
