YEAR,DISTRICT,PER_TURN_ALL,PER_TURN_INEXP,PER_TURN_EXP,PER_FREE_LUNCH,PER_REDUCED_LUNCH,PER_BLACK,PER_HISP,PER_ASIAN,PER_FRPL,PER_MINORITY
2014,CLYMER CENTRAL SCHOOL DISTRICT,4.0,0.0,4.08695652173913,32.0,8.0,1.0,1.0,1.0,40.0,3.0
2014,DUNKIRK CITY SCHOOL DISTRICT,16.0,0.0,16.24615384615384,64.0,6.0,8.0,48.0,0.0,70.0,56.0
2014,BEMUS POINT CENTRAL SCHOOL DISTRICT,8.0,0.0,8.125,15.0,5.0,1.0,1.0,2.0,20.0,4.0
2014,FALCONER CENTRAL SCHOOL DISTRICT,5.0,0.0,5.14423076923077,35.0,9.0,1.0,2.0,1.0,44.0,4.0
2014,SILVER CREEK CENTRAL SCHOOL DISTRICT,14.000000000000002,0.0,14.428571428571429,43.0,9.0,1.0,7.0,0.0,52.0,8.0
2014,FORESTVILLE CENTRAL SCHOOL DISTRICT,13.0,0.0,13.530612244897949,29.0,15.0,2.0,6.0,0.0,44.0,8.0
2014,PANAMA CENTRAL SCHOOL DISTRICT,11.0,0.0,11.42307692307692,26.0,12.0,0.0,3.0,0.0,38.0,3.0
2014,JAMESTOWN CITY SCHOOL DISTRICT,10.0,17.0,9.76385542168674,57.0,4.0,4.0,19.0,0.0,61.0,23.0
2014,FREDONIA CENTRAL SCHOOL DISTRICT,7.000000000000001,0.0,7.1068702290076295,25.0,8.0,1.0,10.0,2.0,33.0,13.0
2014,BROCTON CENTRAL SCHOOL DISTRICT,10.0,20.0,9.42307692307692,45.0,19.0,1.0,9.0,0.0,64.0,10.0
2014,RIPLEY CENTRAL SCHOOL DISTRICT,41.0,,,52.0,14.0,0.0,1.0,0.0,66.0,1.0
2014,SHERMAN CENTRAL SCHOOL DISTRICT,15.0,25.0,14.302325581395339,38.0,15.0,1.0,1.0,0.0,53.0,2.0
2014,WESTFIELD CENTRAL SCHOOL DISTRICT,10.0,25.0,10.0,37.0,10.0,1.0,5.0,1.0,47.0,7.0
2014,ELMIRA CITY SCHOOL DISTRICT,17.0,60.0,17.0,56.0,5.0,16.0,2.0,1.0,61.0,19.0
2014,HORSEHEADS CENTRAL SCHOOL DISTRICT,9.0,18.0,8.709677419354831,23.0,6.0,2.0,3.0,3.0,29.0,8.0
2014,ELMIRA HEIGHTS CENTRAL SCHOOL DISTRICT,12.0,9.0,12.225,42.0,7.0,1.0,2.0,1.0,49.0,4.0
2014,AFTON CENTRAL SCHOOL DISTRICT,8.0,11.0,7.75,50.0,14.0,2.0,3.0,1.0,64.0,6.0
2014,BAINBRIDGE-GUILFORD CENTRAL SCHOOL DISTRICT,15.0,33.0,14.47058823529411,39.0,10.0,0.0,2.0,1.0,49.0,3.0
2014,GREENE CENTRAL SCHOOL DISTRICT,12.0,50.0,11.57777777777777,32.0,12.0,1.0,2.0,1.0,44.0,4.0
2014,UNADILLA VALLEY CENTRAL SCHOOL DISTRICT,41.0,0.0,43.52307692307692,51.0,13.0,2.0,1.0,1.0,64.0,4.0
2014,NORWICH CITY SCHOOL DISTRICT,10.0,6.0,10.25806451612903,48.0,6.0,3.0,3.0,1.0,54.0,7.0
2014,GEORGETOWN-SOUTH OTSELIC CENTRAL SCHOOL DISTRICT,15.0,0.0,15.937499999999998,39.0,13.0,2.0,4.0,0.0,52.0,6.0
2014,OXFORD ACADEMY AND CENTRAL SCHOOL DISTRICT,10.0,0.0,10.533333333333331,42.0,14.0,1.0,5.0,0.0,56.0,6.0
2014,SHERBURNE-EARLVILLE CENTRAL SCHOOL DISTRICT,12.0,33.0,11.84444444444444,38.0,13.0,0.0,1.0,1.0,51.0,2.0
2014,AUSABLE VALLEY CENTRAL SCHOOL DISTRICT,4.0,0.0,4.10434782608695,35.0,12.0,2.0,1.0,1.0,47.0,4.0
